target_id,n_models,mean_rmsd,std_rmsd,min_rmsd,max_rmsd,methods
4ay9__3__1.A__1.K,3,0.457,0.255,0.164,0.627,mcs
4az3__1__1.A_1.B__1.C,3,2.004,0.246,1.727,2.196,mcs
4azm__1__1.A_1.B__1.C,3,2.613,0.007,2.605,2.617,mcs
4bcc__1__1.A__1.B_1.F,3,3.203,0.312,2.983,3.56,mcs
4bcd__1__1.A__1.B,3,2.144,0.77,1.263,2.69,mcs
4c49__3__1.C__1.G,3,0.0,0.0,0.0,0.0,mcs
4c7w__1__1.A__1.M_1.N,3,0.535,0.009,0.525,0.544,mcs
4c7w__1__1.B__1.G_1.R,3,2.209,1.047,1.004,2.898,mcs
4cb5__1__1.A__1.B,3,1.135,0.166,1.006,1.322,mcs
4cdc__1__1.G_1.H_1.I__1.X,3,2.091,0.299,1.746,2.272,mcs
4cdf__1__1.A_1.B_1.C__1.I,3,2.246,0.145,2.133,2.41,mcs
4ci9__1__2.A__2.B,3,1.107,0.101,1.028,1.221,mcs
4cix__1__8.A_9.A__8.B,3,1.058,0.025,1.029,1.076,mcs
4cp5__1__1.A_1.B__1.G,3,0.762,0.063,0.689,0.803,mcs
4cyi__2__1.C__1.M_1.N,3,0.938,0.082,0.869,1.029,mcs
4cyj__1__1.A__1.G_1.H,3,0.887,0.045,0.853,0.938,mcs
4d4b__1__1.A__1.C_1.E,3,2.215,0.063,2.143,2.262,global
4dch__1__1.A__1.C,3,1.271,0.018,1.25,1.285,mcs
4dhl__2__1.B_1.D__1.V_1.W_1.X,3,0.364,0.132,0.282,0.516,mcs
4edh__1__1.A__1.C_1.D_1.E,3,0.772,0.132,0.621,0.852,mcs
4efe__1__1.A__1.E,3,0.35,0.232,0.084,0.502,mcs
4ffg__2__1.B__1.F,3,1.566,0.678,1.15,2.348,global
4ffo__1__1.A__1.B_1.C_1.D_1.E,3,1.481,0.085,1.404,1.572,mcs
4fju__1__1.A_1.B__1.E,3,0.538,0.025,0.52,0.566,mcs
4fx8__1__1.A_1.B__1.C,3,0.783,0.039,0.761,0.829,mcs
4fxr__1__1.A_1.B__1.C,3,0.813,0.008,0.805,0.822,mcs
4fz0__1__1.B__1.K,3,0.377,0.275,0.061,0.559,mcs
4gc4__1__1.A_1.B__1.D,3,0.732,0.148,0.563,0.839,mcs
4gip__1__1.A_1.B__1.G,3,0.355,0.122,0.214,0.434,mcs
4glx__1__1.D__1.G,3,0.354,0.032,0.327,0.389,mcs
4gmc__2__1.B__1.E,3,1.982,0.059,1.928,2.046,mcs
4gmd__2__1.D__1.O,3,0.654,0.043,0.604,0.684,mcs
4gnv__1__1.B__1.G,3,0.198,0.244,0.054,0.48,mcs
4gyz__3__1.C__1.O_1.P,3,1.073,0.305,0.875,1.424,mcs
4hat__1__1.C__1.G,3,1.207,0.011,1.197,1.219,mcs
4hb0__1__1.C__1.F,3,1.27,0.007,1.262,1.275,mcs
4hsi__2__1.B_2.B__2.K,3,0.768,0.084,0.716,0.865,mcs
4i02__1__1.A_1.E__1.H,3,1.763,0.035,1.742,1.804,mcs
4i4v__2__1.D__1.L,3,0.116,0.113,0.042,0.246,mcs
4i4y__2__1.C__1.H_1.O,3,1.921,1.164,0.577,2.608,mcs
4ien__2__1.C_1.D_2.C__1.P,3,0.956,0.02,0.937,0.976,mcs
4ih7__1__1.A__1.D,3,0.795,0.339,0.5,1.166,mcs
4ise__1__1.A__1.C,3,1.032,0.008,1.025,1.04,mcs
4ixd__2__1.A_2.A__1.C,3,2.001,0.054,1.942,2.047,mcs
4j6w__1__1.C_1.E__1.W,3,2.136,0.392,1.787,2.561,mcs
4j8t__3__1.C__1.G,3,0.0,0.0,0.0,0.0,mcs
4jaf__1__1.B_3.B__1.H,3,0.813,0.411,0.421,1.24,mcs
4jp4__1__1.A_1.B__1.I_1.N,3,2.438,0.109,2.319,2.532,mcs
4js1__1__1.A__1.C_1.D,3,0.158,0.005,0.152,0.163,mcs
4jsd__1__1.A__1.B,3,0.663,0.107,0.541,0.736,global
4jt8__1__1.A__1.C,3,0.843,0.099,0.75,0.947,mcs
4jt9__1__1.A__1.C_1.D_1.E,3,0.91,0.345,0.613,1.288,mcs
4jvo__1__1.A__1.C,3,1.831,0.069,1.762,1.9,mcs
4k2f__1__1.A_1.B__1.M,3,1.653,0.147,1.485,1.757,mcs
4kax__1__1.B__1.H,3,0.851,0.02,0.833,0.872,global
4kgj__1__1.A__1.J,3,1.018,0.393,0.567,1.288,global
4kgq__1__3.A_3.B__3.F,3,0.984,0.272,0.675,1.184,mcs
4kql__1__3.A__3.L,3,0.749,0.238,0.474,0.886,mcs
4kxl__2__1.C_1.D__1.G,3,0.969,0.143,0.814,1.097,mcs
4l0p__1__1.B__1.C,3,0.905,0.237,0.73,1.175,mcs
4l1r__2__1.B_3.B__1.K,3,0.601,0.016,0.583,0.612,mcs
4l59__1__1.A_2.A__2.B,3,2.035,0.027,2.011,2.064,mcs
4lfe__1__1.B__1.F_1.G_1.H_1.I_1.J,3,1.54,0.113,1.422,1.648,mcs
4lrh__4__1.D__1.T,3,1.095,0.59,0.414,1.446,mcs
4m1j__1__1.A_1.B__1.C,3,1.136,0.251,0.941,1.42,global
4mlp__1__1.A__1.E,3,1.684,1.091,0.501,2.652,mcs
4mmd__1__1.A__1.D_1.E,3,0.269,0.023,0.248,0.294,mcs
4mme__1__1.A__1.E,3,0.11,0.002,0.108,0.112,mcs
4mpe__1__1.A__1.B,3,1.465,0.008,1.46,1.474,mcs
4mwf__1__1.D__1.I,3,1.937,1.219,0.539,2.774,mcs
4mwf__2__1.C__1.L,3,0.307,0.243,0.156,0.587,mcs
4mws__1__1.A_1.B__1.G,3,0.496,0.032,0.46,0.523,mcs
4my6__2__1.B__1.F,3,0.162,0.017,0.147,0.181,mcs
4myw__2__1.C__1.F,3,1.304,0.594,0.923,1.988,mcs
4n7e__1__1.A__1.E,3,0.852,0.082,0.797,0.945,mcs
4n7m__1__1.A_1.B__1.C,3,0.195,0.017,0.179,0.212,mcs
4nbi__1__1.A_1.B__1.C,3,1.035,0.009,1.025,1.044,mcs
4np3__1__1.A__1.B_1.D_1.E,3,0.098,0.013,0.086,0.112,mcs
4o3f__1__1.A__1.B,3,0.929,0.264,0.624,1.089,mcs
4og7__1__1.A__1.C,3,0.728,0.008,0.72,0.736,mcs
4p10__1__1.A__1.B_1.C_1.D,3,0.637,0.042,0.602,0.683,mcs
4p3n__1__1.B__1.G,3,0.125,0.007,0.117,0.129,mcs
4p73__1__1.D__1.F,3,0.954,0.003,0.951,0.957,mcs
4p9o__1__2.A_2.B__2.E,3,2.102,0.264,1.797,2.265,mcs
4pd9__1__1.A_2.A__2.D,3,0.774,0.1,0.673,0.874,global
4pda__1__2.A_3.A__3.D,3,0.915,0.104,0.795,0.977,global
4pht__1__1.A_1.B__1.H_1.I,3,0.921,0.059,0.856,0.972,mcs
4pkr__1__1.A__1.B_1.C_1.E,3,0.293,0.046,0.263,0.346,mcs
4qnu__6__1.F__1.T,3,0.603,0.034,0.568,0.635,mcs
4r9j__1__1.A_1.C__1.S,3,1.101,0.06,1.048,1.166,global
4rus__2__1.C__1.V,3,0.467,0.046,0.435,0.519,mcs
4s3q__1__1.A__1.D,3,0.714,0.259,0.47,0.986,global
4tlb__1__1.A_1.F__1.V_1.W,3,0.885,0.082,0.794,0.952,mcs
4tlc__1__1.C_1.D__1.M_1.O,3,0.804,0.046,0.769,0.856,mcs
4tn2__1__1.A__1.B,3,1.51,0.004,1.505,1.513,mcs
4tsq__3__1.C__1.U,3,2.375,0.112,2.251,2.468,mcs
4tx6__1__1.A__1.C,3,0.193,0.024,0.166,0.212,mcs
4txe__1__1.A__1.B,3,1.352,0.092,1.246,1.415,mcs
4u2y__1__1.B__1.D,3,0.444,0.047,0.393,0.486,global
4unq__1__1.A__1.C,3,0.925,0.181,0.726,1.08,mcs
4uns__1__1.A__1.C,3,0.93,0.329,0.55,1.13,mcs
4wy0__1__1.F_1.K__1.DA,3,1.418,0.187,1.296,1.633,mcs
4x2a__1__1.A_1.B__1.C_1.E,3,0.945,0.195,0.719,1.06,mcs
4x3l__1__1.A_1.B__1.C,3,0.78,0.025,0.752,0.802,mcs
4x3m__1__1.A__1.C,3,0.748,0.005,0.744,0.754,mcs
4x8d__2__1.B__1.T_1.U_1.V,3,0.464,0.25,0.185,0.668,mcs
4x90__2__1.B__1.R,3,0.672,0.086,0.574,0.728,mcs
4x91__2__1.B__1.Q,3,0.403,0.237,0.261,0.677,mcs
4x94__1__1.A__1.C,3,0.962,0.052,0.921,1.021,mcs
4x97__1__1.A__1.H,3,0.326,0.042,0.282,0.366,mcs
4xm6__1__1.A__1.B_1.C,3,1.672,0.093,1.613,1.78,mcs
4xp1__1__1.A__1.N,3,1.004,0.001,1.002,1.005,mcs
4xp9__1__1.A__1.H,3,1.019,0.001,1.018,1.02,mcs
4xph__1__1.A__1.J,3,1.037,0.001,1.036,1.038,mcs
4xqc__1__1.B__1.J,3,0.618,0.004,0.615,0.622,mcs
4yco__3__1.C__1.J,3,0.103,0.007,0.096,0.109,mcs
4yzl__1__1.A__1.B_1.C,3,1.718,0.017,1.702,1.735,mcs
4z2j__1__1.A__1.B_1.D,3,2.766,1.948,0.516,3.895,mcs
4z2l__1__1.A__1.B,3,3.457,0.065,3.419,3.532,mcs
4zdk__1__1.B_3.A__3.D_3.F,3,0.791,0.188,0.608,0.983,mcs
4zed__1__1.A__1.B,3,2.733,0.09,2.656,2.832,mcs
4zmm__1__1.A_1.B__1.C_1.D,3,0.522,0.025,0.495,0.545,mcs
4zne__1__1.A__1.F,3,2.332,0.386,1.943,2.715,mcs
4zr5__1__1.A__1.I,3,0.402,0.006,0.397,0.409,mcs
4zr5__2__1.A__1.G_1.H,3,1.952,0.092,1.845,2.013,mcs
4zwc__1__1.A__1.C,3,0.991,0.025,0.962,1.008,global
5a5w__1__1.A__1.B,3,0.48,0.021,0.456,0.496,mcs
5a88__4__1.D__1.P_1.Q_1.R,3,1.337,0.042,1.289,1.363,mcs
5adv__2__1.C__1.L_1.M_1.N,3,0.839,0.018,0.818,0.851,mcs
5auo__1__1.B_2.B__1.F_1.G,3,0.772,0.06,0.706,0.824,mcs
5avw__1__1.B__1.D,3,1.954,0.865,1.298,2.934,mcs
5aw4__1__1.B__1.D,3,1.69,0.367,1.433,2.111,mcs
5ayc__1__2.A_3.A__2.B_2.C,3,0.552,0.057,0.504,0.616,global
5bs3__1__1.A_1.B__1.I,3,1.611,0.299,1.269,1.82,mcs
5buh__1__1.A__1.B,3,0.696,0.155,0.581,0.872,mcs
5bvb__1__1.A__1.E,3,0.0,0.0,0.0,0.0,mcs
5bzb__1__1.C_1.D__1.O,3,1.364,0.244,1.143,1.626,mcs
5bzj__1__1.A__1.D_1.E,3,1.384,0.022,1.359,1.397,mcs
5bzl__1__1.A__1.D,3,0.952,1.082,0.297,2.201,mcs
5bzm__1__1.A__1.B,3,0.15,0.074,0.081,0.229,mcs
5bzn__1__1.A__1.C,3,0.147,0.006,0.141,0.153,mcs
5bzo__1__1.A__1.B,3,0.141,0.047,0.113,0.195,mcs
5bzp__1__1.A__1.B,3,0.721,0.006,0.716,0.727,mcs
5bzq__1__1.A__1.B,3,0.54,0.287,0.318,0.864,mcs
5bzt__1__1.A__1.D,3,0.994,0.047,0.951,1.043,mcs
5cdo__1__1.A_1.C_1.D__1.W,3,0.539,0.103,0.467,0.657,mcs
5d4u__1__1.C__1.P_1.S,3,0.483,0.12,0.405,0.622,mcs
5d4v__2__1.B__1.I_1.L,3,0.518,0.06,0.455,0.574,mcs
5d61__1__1.A__1.D_1.L,3,1.886,0.005,1.881,1.891,global
5df1__2__1.B__1.G_1.H,3,0.564,0.135,0.447,0.712,mcs
5dqe__2__1.B__1.E,3,0.867,0.009,0.857,0.873,mcs
5dw5__1__1.B__1.K,3,1.148,0.051,1.1,1.202,mcs
5dw6__1__1.B__1.L,3,1.054,0.116,0.92,1.127,mcs
5e1q__2__1.B__1.D_1.G,3,2.264,0.018,2.243,2.278,global
5e62__2__2.C_2.D_3.D__3.N,3,1.517,1.359,0.366,3.016,mcs
5e64__1__1.A_1.B_2.B__2.H,3,2.23,0.912,1.202,2.944,mcs
5e6m__1__1.B__1.G,3,0.654,0.218,0.425,0.86,mcs
5eat__1__1.A__1.B_1.C_1.D_1.E,3,0.869,0.258,0.574,1.057,mcs
5ebb__2__1.B__1.N,3,0.696,0.031,0.663,0.725,mcs
5el2__1__1.A__1.E,3,1.46,0.928,0.391,2.064,mcs
5eno__1__1.C__1.G,3,1.391,0.139,1.231,1.479,mcs
5enr__1__1.C__1.G,3,1.527,0.071,1.445,1.57,mcs
5eq9__1__1.A__1.E,3,1.252,0.374,0.987,1.68,mcs
5eqe__1__1.A__1.C,3,1.543,0.324,1.324,1.915,mcs
5erd__1__1.B__1.H,3,0.873,0.061,0.819,0.939,mcs
5ers__1__1.A_2.A__2.B_2.C,3,0.626,0.138,0.547,0.785,mcs
5erv__1__1.A_2.A__1.B_1.C_1.O,3,0.501,0.191,0.376,0.721,mcs
5etl__1__1.A__1.J,3,1.695,0.019,1.676,1.714,mcs
5ezv__1__1.E__1.K_1.L,3,0.259,0.154,0.117,0.422,mcs
5f2n__1__1.B__1.E_1.F,3,0.32,0.172,0.122,0.424,mcs
5f5x__1__1.A__1.C,3,0.899,0.099,0.793,0.988,mcs
5f9t__2__1.B__1.G,3,1.115,0.036,1.09,1.156,mcs
5fa1__1__1.B__1.D,3,0.445,0.011,0.434,0.456,mcs
5fbc__1__1.A__1.E,3,0.494,0.007,0.488,0.502,mcs
5fli__2__1.F__1.W_1.X,3,0.087,0.005,0.084,0.093,mcs
5flj__2__1.L__1.YA_1.ZA,3,0.141,0.008,0.132,0.148,mcs
5fog__3__1.D__1.M,3,0.499,0.013,0.486,0.512,mcs
5fra__4__1.D__1.L,3,0.554,0.073,0.509,0.637,mcs
5fsc__1__2.A__2.D,3,0.873,0.443,0.601,1.384,mcs
5fux__1__1.A__1.C_1.E_1.F,3,0.831,0.018,0.819,0.852,mcs
5fuy__1__1.B__1.J_1.K,3,0.861,0.027,0.833,0.888,mcs
5h41__1__1.A__1.C_1.E_1.F,3,1.508,0.347,1.114,1.765,global
5h42__1__1.A__1.C,3,0.628,0.03,0.594,0.65,global
5h47__10__1.J__1.PB,3,0.695,0.167,0.504,0.811,global
5h4j__1__1.A_2.A__2.B,3,0.98,0.031,0.953,1.014,mcs
5hcn__1__1.A__1.C_1.D,3,0.872,0.187,0.662,1.021,mcs
5hmw__1__1.A__1.D,3,0.863,0.667,0.457,1.633,mcs
5hmx__1__1.A__1.D,3,0.621,0.11,0.545,0.747,mcs
5hmy__1__1.A__1.D,3,0.967,0.513,0.633,1.558,mcs
5hmz__1__1.A__1.D,3,0.416,0.168,0.303,0.608,mcs
5hvh__1__1.A__1.E,3,1.322,0.053,1.281,1.382,mcs
5i3q__1__1.A__1.D,3,1.199,0.528,0.839,1.805,mcs
5id7__1__1.A__1.D,3,2.467,1.23,1.432,3.827,mcs
5iul__2__1.E__1.P_1.Q,3,0.717,0.218,0.477,0.902,mcs
5j1x__1__1.A__1.E,3,1.114,0.072,1.071,1.197,mcs
5j3z__2__1.B__1.S,3,2.186,0.015,2.175,2.203,mcs
5j42__1__1.A__1.C_1.D,3,0.13,0.011,0.118,0.139,mcs
5j61__3__1.E_1.F__1.M,3,0.426,0.01,0.415,0.436,mcs
5jau__1__1.A__1.E,3,0.391,0.068,0.348,0.47,mcs
5jgq__2__1.B__1.D,3,1.226,0.043,1.181,1.267,mcs
5jjr__1__1.A__1.E,3,1.345,0.353,0.94,1.586,mcs
5jmy__2__1.B__1.M_1.N,3,1.182,0.043,1.142,1.227,mcs
5jqw__1__1.A__1.B,3,0.905,0.15,0.798,1.077,mcs
5k5m__1__1.A__1.D,3,0.732,0.189,0.524,0.894,mcs
5kgp__1__1.B__1.D_1.L,3,2.519,0.063,2.454,2.581,global
5kv8__1__1.B__1.S,3,0.272,0.131,0.121,0.353,mcs
5l58__1__1.A_2.A__1.C_2.C,3,1.877,0.074,1.793,1.93,mcs
5l6v__4__1.N_1.P__1.OA,3,0.783,0.154,0.612,0.909,mcs
5la4__1__1.A__1.E,3,0.513,0.003,0.51,0.516,mcs
5la7__1__1.A__1.D,3,0.521,0.007,0.513,0.525,mcs
5lia__1__1.A__1.D_1.M,3,2.683,0.782,1.784,3.209,mcs
5lnr__1__3.A_3.D__3.N,3,0.935,0.041,0.889,0.968,mcs
5lrr__1__1.B__1.L,3,1.972,0.313,1.614,2.193,mcs
5lx6__1__1.A__1.C,3,0.864,0.386,0.419,1.12,mcs
5m5e__1__1.A_1.B__1.F_1.K,3,1.253,0.745,0.729,2.105,mcs
5m5u__1__1.A__1.C,3,4.269,0.407,3.929,4.719,mcs
5m77__2__1.B__1.D_1.R,3,0.937,0.05,0.898,0.993,global
5m7u__1__1.A_1.B__1.D,3,1.574,0.027,1.552,1.604,mcs
5m8l__4__1.D__1.U,3,1.366,0.927,0.76,2.433,mcs
5m8m__3__1.C__1.Q,3,1.316,0.433,0.943,1.791,mcs
5man__1__1.A__1.B,3,1.072,1.014,0.479,2.243,global
5ml8__1__1.A__1.B,3,1.367,0.11,1.249,1.466,mcs
5n0m__1__2.A__2.B_2.I,3,1.405,0.204,1.216,1.62,mcs
5n2v__2__1.E_1.F__1.K_1.L_1.M_1.N,3,0.995,0.179,0.866,1.199,mcs
5nbx__2__1.B__1.D,3,0.381,0.02,0.362,0.401,mcs
5nmt__1__1.B__1.E,3,1.289,0.36,0.897,1.605,mcs
5nn4__1__1.A__1.D,3,1.751,0.361,1.334,1.964,mcs
5np8__1__1.A__1.B,3,1.35,0.324,0.994,1.628,mcs
5npp__1__1.B__1.O,3,1.925,0.263,1.701,2.215,mcs
5nr3__1__1.A__1.C,3,1.494,0.283,1.173,1.705,global
5o1j__1__1.A__1.B_1.D,3,0.877,0.012,0.868,0.89,mcs
5o3w__2__1.B__1.F,3,3.163,0.212,2.928,3.34,mcs
5o3w__4__1.D__1.H,3,4.135,0.409,3.704,4.518,mcs
5oah__1__1.A__1.D_1.E,3,0.48,0.036,0.441,0.511,mcs
5odc__1__1.A_1.G__1.SA,3,0.306,0.187,0.194,0.522,mcs
5odi__1__1.A_1.G__1.N,3,0.598,0.004,0.595,0.602,mcs
5oju__1__2.B__2.K,3,0.256,0.016,0.244,0.274,global
5oo2__1__2.B__2.P,3,0.132,0.012,0.125,0.145,global
5ost__1__1.A__1.P,3,0.182,0.006,0.178,0.189,mcs
5ov6__1__1.A__1.B,3,0.939,0.613,0.236,1.364,mcs
5qpg__1__2.A__2.H,3,1.409,0.35,1.005,1.629,mcs
5qto__1__1.A_1.B__1.H,3,0.927,0.124,0.784,0.999,mcs
5qtp__1__1.A_1.B__1.G,3,0.796,0.017,0.785,0.816,mcs
5rm2__2__1.B__1.H_1.M_1.N,3,1.377,0.373,1.141,1.806,mcs
5slg__1__1.A__1.G,3,1.181,0.29,0.845,1.348,mcs
5sun__1__1.A_1.B__1.D_1.J,3,2.365,0.11,2.238,2.436,mcs
5svf__2__1.C__1.L,3,1.253,0.003,1.251,1.257,mcs
5svl__2__3.B__3.T,3,0.33,0.196,0.203,0.555,mcs
5t2p__1__1.A__1.G,3,1.973,0.274,1.657,2.133,mcs
5t64__1__1.B__1.M,3,0.198,0.05,0.168,0.255,mcs
5tiy__1__1.A__1.C,3,1.133,0.063,1.068,1.195,mcs
5tw8__2__1.B__1.G,3,0.2,0.071,0.124,0.265,mcs
5u1w__1__1.A_2.A_3.A__3.E,3,1.538,0.152,1.449,1.713,mcs
5u1x__1__1.A_3.A__1.E,3,2.595,0.369,2.176,2.874,mcs
5u1y__1__1.A_2.A__2.E,3,1.543,0.013,1.529,1.555,mcs
5u8z__1__1.D__1.O_1.P,3,0.066,0.007,0.058,0.071,mcs
5ufi__3__1.C__1.G,3,1.212,0.062,1.142,1.259,mcs
5ui4__1__1.D_1.F__1.L,3,1.721,0.275,1.405,1.904,mcs
5uj7__1__1.C__1.K,3,1.171,0.012,1.16,1.184,mcs
5us1__4__1.G__1.X,3,0.544,0.276,0.372,0.862,mcs
5uy8__1__1.A_1.B__1.G,3,0.598,0.146,0.493,0.764,mcs
5uz0__1__1.A_1.B__1.F,3,0.68,0.176,0.477,0.792,mcs
5v3a__2__2.C_3.C_3.D__3.L,3,0.933,0.004,0.929,0.936,mcs
5v3x__1__1.A__1.C,3,0.277,0.02,0.255,0.295,mcs
5v3y__1__1.A__1.C,3,1.076,0.217,0.95,1.326,mcs
5vr7__1__1.A_1.B__1.C,3,3.005,0.234,2.755,3.217,mcs
5vro__1__1.A_1.B__1.C,3,2.3,0.603,1.605,2.669,mcs
5vsj__1__1.B__1.E,3,1.003,0.049,0.947,1.038,global
5vt4__1__1.A__1.E,3,0.861,0.016,0.848,0.879,global
5vwo__1__1.A_1.B__1.D,3,1.18,0.074,1.095,1.228,mcs
5w6y__1__1.A_1.B__1.D,3,1.453,0.003,1.451,1.456,mcs
5wdk__1__1.F__1.W,3,1.484,0.209,1.284,1.702,mcs
5wdl__1__1.F__1.V,3,0.568,0.241,0.297,0.758,mcs
5wgt__2__1.A_2.A__1.O,3,1.046,0.092,0.969,1.147,mcs
5wgu__1__1.A__1.N,3,0.745,0.019,0.728,0.765,mcs
5wgz__1__1.A__1.P,3,1.496,0.053,1.435,1.533,mcs
5x72__1__1.A__1.B_1.C,3,1.042,0.009,1.034,1.051,mcs
5xjd__1__1.A_1.B__1.C,3,1.435,0.15,1.299,1.596,mcs
5xmp__1__1.A_1.B__1.G_1.H,3,1.035,0.141,0.925,1.194,mcs
5xpi__1__1.A__1.B,3,1.066,0.336,0.709,1.377,mcs
5y4z__1__1.A__1.B_1.C,3,0.865,0.153,0.692,0.983,mcs
5yea__2__1.B__1.G,3,1.127,0.001,1.126,1.128,mcs
5yij__1__1.A_1.C__1.E,3,2.312,0.242,2.041,2.505,mcs
5yjo__1__1.A__1.E_1.F,3,2.031,0.081,1.964,2.122,mcs
5ylt__1__1.A__1.C,3,0.068,0.0,0.068,0.069,mcs
5zdq__1__2.A__2.E_2.F_2.G_2.H,3,0.363,0.005,0.358,0.367,mcs
5zk4__2__1.B__1.J_1.N,3,1.199,0.317,0.979,1.563,mcs
5zq7__1__1.A_1.B__1.E,3,2.384,0.322,2.178,2.755,mcs
5zqs__1__1.B__1.D,3,1.786,0.049,1.734,1.831,global
5zqx__1__1.A__1.E,3,1.632,0.046,1.588,1.68,global
6a8p__3__1.C__1.F,3,0.934,0.095,0.862,1.041,mcs
6a9a__1__1.A_2.A__2.C_2.D,3,2.703,0.033,2.665,2.729,mcs
6apl__1__1.A__1.G,3,0.556,0.058,0.518,0.623,mcs
6apl__3__1.C__1.N,3,0.754,0.222,0.594,1.008,mcs
6apw__1__1.A__1.B,3,0.493,0.068,0.429,0.564,mcs
6aqn__1__1.A__1.B,3,1.315,0.202,1.086,1.468,mcs
6au0__1__1.A__1.B,3,1.921,0.639,1.187,2.356,mcs
6b24__1__1.A_1.B_1.C__1.H,3,2.414,0.272,2.148,2.693,global
6b2a__1__1.A_1.B_1.C__1.I_1.L,3,2.195,0.491,1.896,2.762,global
6b63__1__1.A_1.B__1.D_1.E_1.F_1.I_1.L,3,1.376,0.3,1.16,1.719,global
6bjo__1__1.B__1.D,3,1.407,0.103,1.289,1.48,mcs
6bkx__1__2.A__2.F,3,1.555,0.092,1.45,1.62,mcs
6bkz__1__1.A_1.B__1.D,3,1.772,0.858,1.268,2.762,mcs
6bl0__1__1.A__1.G,3,2.536,0.238,2.316,2.788,mcs
6bo6__1__3.A__3.B,3,2.438,0.255,2.165,2.67,mcs
6boi__1__1.A__1.C,3,1.815,0.26,1.524,2.022,mcs
6bsl__1__1.A__1.D_1.F,3,1.471,0.118,1.342,1.573,mcs
6btn__1__1.A__1.C_1.D_1.F,3,1.352,0.045,1.3,1.383,mcs
6bto__1__1.A__1.D_1.F,3,1.413,0.291,1.079,1.608,mcs
6btp__1__1.A__1.D_1.F,3,0.398,0.029,0.377,0.431,mcs
6c0m__1__1.B__1.R,3,1.192,0.021,1.172,1.214,mcs
6cfc__1__1.A__1.B,3,0.667,0.007,0.66,0.672,mcs
6cq8__1__1.A__1.H,3,1.292,0.016,1.274,1.307,mcs
6cq9__1__1.A__1.F,3,1.137,0.004,1.135,1.141,mcs
6ddh__1__2.A__2.B,3,0.809,0.032,0.79,0.846,mcs
6dft__2__1.E_1.F_1.G_1.H__1.T_1.U,3,1.356,0.204,1.127,1.52,mcs
6dte__1__1.A__1.C,3,0.308,0.004,0.304,0.312,mcs
6e07__4__1.F__1.QA,3,0.579,0.026,0.556,0.606,mcs
6e08__1__1.A__1.B,3,0.699,0.105,0.577,0.765,mcs
6e1a__1__1.A__1.B_1.C_1.G,3,2.62,0.059,2.552,2.655,mcs
6e6i__1__1.F_1.G_2.G__2.V_2.W,3,0.237,0.307,0.049,0.591,mcs
6eut__1__1.A__1.C,3,0.716,0.122,0.576,0.797,mcs
6ex0__1__2.B__2.D,3,1.924,0.22,1.673,2.077,mcs
6f22__1__1.A__1.C,3,1.052,0.002,1.05,1.053,mcs
6f5w__1__1.B__1.HA,3,0.411,0.247,0.126,0.556,mcs
6fgx__1__1.A__1.C_1.D,3,1.294,0.137,1.196,1.451,mcs
6fhv__1__3.A__3.G,3,0.543,0.004,0.54,0.547,mcs
6fhy__1__1.A__1.C,3,1.448,0.714,0.72,2.147,global
6fl8__1__1.A__1.C_1.D_1.E_1.G,3,0.635,0.116,0.501,0.707,mcs
6fl8__2__1.B__1.J_1.K_1.L,3,0.759,0.19,0.543,0.903,mcs
6flu__1__1.B__1.R,3,1.241,0.123,1.1,1.33,global
6fns__2__1.B__1.E,3,0.964,0.583,0.292,1.335,mcs
6fnt__2__1.B__1.D,3,0.712,0.385,0.487,1.156,mcs
6fxk__1__2.A__2.B,3,0.544,0.073,0.5,0.628,mcs
6fxr__1__1.A__1.B,3,0.628,0.292,0.392,0.954,mcs
6g27__1__1.A__1.B,3,0.829,0.387,0.512,1.261,mcs
6g3y__1__1.A__1.D,3,0.756,0.45,0.237,1.017,mcs
6g9s__1__1.A__1.B,3,0.055,0.002,0.052,0.056,mcs
6gbx__1__1.A__1.D_1.F,3,1.111,0.231,0.976,1.378,mcs
6gid__1__1.A__1.C,3,0.516,0.26,0.216,0.67,mcs
6gw2__1__1.A__1.C,3,0.815,0.104,0.695,0.875,mcs
6gw4__1__1.A__1.B,3,0.709,0.061,0.639,0.755,mcs
6gwv__3__1.O_1.P__1.CA,3,0.62,0.018,0.603,0.638,mcs
6gxv__2__1.B__1.D,3,0.899,0.329,0.656,1.274,global
6gy9__1__1.A_1.B__1.C,3,1.4,0.808,0.547,2.153,mcs
6h15__1__1.D__1.G,3,2.172,0.374,1.908,2.6,mcs
6h6m__1__1.C_1.D__1.X,3,1.42,0.163,1.235,1.541,mcs
6h7e__1__1.A__1.C,3,0.517,0.006,0.51,0.523,mcs
6hbz__1__1.A_1.B__1.C_1.D,3,0.71,0.059,0.65,0.767,mcs
6hmh__1__1.A__1.B_1.D_1.E,3,1.663,0.534,1.133,2.201,global
6hph__1__1.A__1.B_1.C,3,0.65,0.21,0.448,0.867,mcs
6hso__1__1.A_2.A__1.L_1.M_1.N,3,0.857,0.076,0.77,0.903,mcs
6hvh__1__1.A__1.B_1.C,3,0.413,0.021,0.39,0.431,mcs
6hvj__1__1.A__1.B,3,1.792,0.019,1.77,1.806,mcs
6i1g__2__1.B__1.D,3,1.187,0.218,0.953,1.386,mcs
6i1h__2__1.B__1.D,3,1.397,0.019,1.377,1.415,mcs
6i34__1__1.B__1.L,3,0.617,0.245,0.334,0.765,mcs
