protein,idx,rmsd
2r1r__1__1.A__1.G,0,34.6745
2r1r__1__1.A__1.G,1,33.3112
2r1r__1__1.A__1.G,2,34.5366
2r1r__1__1.A__1.G,3,33.3065
2r1r__1__1.A__1.G,4,33.6633
2v0n__1__1.A_1.B__1.Q_1.R,0,37.0416
2v0n__1__1.A_1.B__1.Q_1.R,1,53.3766
2v0n__1__1.A_1.B__1.Q_1.R,2,37.1761
2v0n__1__1.A_1.B__1.Q_1.R,3,39.3333
2v0n__1__1.A_1.B__1.Q_1.R,4,41.2637
2v91__1__1.A__1.C,0,0.641901
2v91__1__1.A__1.C,1,0.608945
2v91__1__1.A__1.C,2,0.70947
2v91__1__1.A__1.C,3,0.70297
2v91__1__1.A__1.C,4,1.25841
2vkd__1__1.A__1.D_1.E,0,0.714837
2vkd__1__1.A__1.D_1.E,1,0.6182
2vkd__1__1.A__1.D_1.E,2,0.622313
2vkd__1__1.A__1.D_1.E,3,0.68254
2vkd__1__1.A__1.D_1.E,4,0.696846
2vkh__1__1.A__1.D_1.E,0,0.798541
2vkh__1__1.A__1.D_1.E,1,0.725353
2vkh__1__1.A__1.D_1.E,2,0.71794
2vkh__1__1.A__1.D_1.E,3,0.783176
2vkh__1__1.A__1.D_1.E,4,0.687958
2vxk__1__1.A_2.A__1.B,0,0.882162
2vxk__1__1.A_2.A__1.B,1,0.901899
2vxk__1__1.A_2.A__1.B,2,0.871071
2vxk__1__1.A_2.A__1.B,3,0.825046
2vxk__1__1.A_2.A__1.B,4,0.940726
2w08__1__1.D__1.T,0,29.9511
2w08__1__1.D__1.T,1,29.8686
2w08__1__1.D__1.T,2,30.1048
2w08__1__1.D__1.T,3,29.8633
2w08__1__1.D__1.T,4,29.8272
2w0w__1__3.A__3.B,0,0.951327
2w0w__1__3.A__3.B,1,0.889216
2w0w__1__3.A__3.B,2,0.772255
2w0w__1__3.A__3.B,3,1.05126
2w0w__1__3.A__3.B,4,1.03321
2wa9__1__1.A__1.H,0,1.75954
2wa9__1__1.A__1.H,1,1.20781
2wa9__1__1.A__1.H,2,1.11146
2wa9__1__1.A__1.H,3,1.28037
2wa9__1__1.A__1.H,4,1.12721
2wbv__2__1.C_1.F__1.R,0,41.4457
2wbv__2__1.C_1.F__1.R,1,41.4778
2wbv__2__1.C_1.F__1.R,2,41.4502
2wbv__2__1.C_1.F__1.R,3,41.5032
2wbv__2__1.C_1.F__1.R,4,41.4673
2wcx__1__1.A__1.D,0,0.872039
2wcx__1__1.A__1.D,1,1.16632
2wcx__1__1.A__1.D,2,1.0861
2wcx__1__1.A__1.D,3,1.11152
2wcx__1__1.A__1.D,4,1.02377
2wgs__1__1.G__1.Y,0,9.022
2wgs__1__1.G__1.Y,1,9.00862
2wgs__1__1.G__1.Y,2,9.04391
2wgs__1__1.G__1.Y,3,8.90646
2wgs__1__1.G__1.Y,4,9.0342
2wo3__1__1.B__1.C,0,5.91497
2wo3__1__1.B__1.C,1,6.10646
2wo3__1__1.B__1.C,2,5.91953
2wo3__1__1.B__1.C,3,6.09336
2wo3__1__1.B__1.C,4,6.12158
2wzi__1__1.A__1.F,0,0.263879
2wzi__1__1.A__1.F,1,0.264745
2wzi__1__1.A__1.F,2,0.232353
2wzi__1__1.A__1.F,3,0.389233
2wzi__1__1.A__1.F,4,0.229381
2x0q__1__2.A__2.B_2.C_2.D,0,0.735853
2x0q__1__2.A__2.B_2.C_2.D,1,0.239157
2x0q__1__2.A__2.B_2.C_2.D,2,1.72038
2x0q__1__2.A__2.B_2.C_2.D,3,1.59655
2x0q__1__2.A__2.B_2.C_2.D,4,0.566755
2x0u__2__1.B__1.D,0,1.01941
2x0u__2__1.B__1.D,1,1.30901
2x0u__2__1.B__1.D,2,1.35751
2x0u__2__1.B__1.D,3,1.30833
2x0u__2__1.B__1.D,4,1.32098
2x1n__1__1.D__1.E,0,8.44157
2x1n__1__1.D__1.E,1,8.63674
2x1n__1__1.D__1.E,2,2.88857
2x1n__1__1.D__1.E,3,2.80416
2x1n__1__1.D__1.E,4,2.12705
2xcg__2__1.A_2.A__1.F,0,30.8501
2xcg__2__1.A_2.A__1.F,1,30.9724
2xcg__2__1.A_2.A__1.F,2,31.1557
2xcg__2__1.A_2.A__1.F,3,30.7323
2xcg__2__1.A_2.A__1.F,4,31.0482
2xd9__1__4.A_4.C__4.F,0,27.0562
2xd9__1__4.A_4.C__4.F,1,27.5065
2xd9__1__4.A_4.C__4.F,2,27.0257
2xd9__1__4.A_4.C__4.F,3,27.5098
2xd9__1__4.A_4.C__4.F,4,27.4922
2xtk__2__1.B__1.L,0,2.1787
2xtk__2__1.B__1.L,1,1.84909
2xtk__2__1.B__1.L,2,1.96846
2xtk__2__1.B__1.L,3,2.0347
2xtk__2__1.B__1.L,4,2.39688
2y38__1__1.A__1.B,0,7.03928
2y38__1__1.A__1.B,1,33.7509
2y38__1__1.A__1.B,2,4.56563
2y38__1__1.A__1.B,3,6.36079
2y38__1__1.A__1.B,4,6.36627
2y71__1__1.A_3.A__3.B,0,27.7129
2y71__1__1.A_3.A__3.B,1,27.73
2y71__1__1.A_3.A__3.B,2,27.741
2y71__1__1.A_3.A__3.B,3,27.7056
2y71__1__1.A_3.A__3.B,4,27.833
2ya3__1__1.C__1.D,0,1.62743
2ya3__1__1.C__1.D,1,1.33756
2ya3__1__1.C__1.D,2,1.35387
2ya3__1__1.C__1.D,3,1.68801
2ya3__1__1.C__1.D,4,1.46457
2yc3__1__2.A__2.B,0,2.27989
2yc3__1__2.A__2.B,1,2.30905
2yc3__1__2.A__2.B,2,2.25806
2yc3__1__2.A__2.B,3,2.31115
2yc3__1__2.A__2.B,4,2.27415
2yc5__1__1.A__1.B,0,2.72277
2yc5__1__1.A__1.B,1,2.50348
2yc5__1__1.A__1.B,2,2.62615
2yc5__1__1.A__1.B,3,2.4545
2yc5__1__1.A__1.B,4,2.73103
2yqh__1__1.A__1.C,0,0.733014
2yqh__1__1.A__1.C,1,0.788789
2yqh__1__1.A__1.C,2,0.614004
2yqh__1__1.A__1.C,3,0.641162
2yqh__1__1.A__1.C,4,0.944584
2yqs__1__1.A__1.B_1.D,0,0.898419
2yqs__1__1.A__1.B_1.D,1,0.828332
2yqs__1__1.A__1.B_1.D,2,0.381839
2yqs__1__1.A__1.B_1.D,3,0.694756
2yqs__1__1.A__1.B_1.D,4,0.858921
2yr6__1__1.A__1.D_1.E_1.F,0,0.261548
2yr6__1__1.A__1.D_1.E_1.F,1,0.239543
2yr6__1__1.A__1.D_1.E_1.F,2,0.275864
2yr6__1__1.A__1.D_1.E_1.F,3,0.241199
2yr6__1__1.A__1.D_1.E_1.F,4,0.315261
2z8g__2__1.B__1.W,0,31.3292
2z8g__2__1.B__1.W,1,30.0915
2z8g__2__1.B__1.W,2,30.0507
2z8g__2__1.B__1.W,3,34.2814
2z8g__2__1.B__1.W,4,32.2962
2zgz__1__1.A__1.C_1.E,0,1.36887
2zgz__1__1.A__1.C_1.E,1,1.14644
2zgz__1__1.A__1.C_1.E,2,2.10505
2zgz__1__1.A__1.C_1.E,3,2.0641
2zgz__1__1.A__1.C_1.E,4,0.473023
2zw9__2__1.B__1.D,0,0.4691
2zw9__2__1.B__1.D,1,0.628434
2zw9__2__1.B__1.D,2,0.473495
2zw9__2__1.B__1.D,3,0.584072
2zw9__2__1.B__1.D,4,0.286597
2zwa__2__1.B__1.H,0,1.00317
2zwa__2__1.B__1.H,1,0.748298
2zwa__2__1.B__1.H,2,0.792044
2zwa__2__1.B__1.H,3,0.82756
2zwa__2__1.B__1.H,4,0.827567
2zz5__1__1.A_1.B__1.C,0,0.41422
2zz5__1__1.A_1.B__1.C,1,0.393543
2zz5__1__1.A_1.B__1.C,2,0.413662
2zz5__1__1.A_1.B__1.C,3,0.434967
2zz5__1__1.A_1.B__1.C,4,0.421161
3a3k__1__1.A__1.C,0,21.3757
3a3k__1__1.A__1.C,1,20.9464
3a3k__1__1.A__1.C,2,21.403
3a3k__1__1.A__1.C,3,21.6601
3a3k__1__1.A__1.C,4,21.5809
3abi__1__1.B__1.F,0,1.07875
3abi__1__1.B__1.F,1,1.04886
3abi__1__1.B__1.F,2,0.916259
3abi__1__1.B__1.F,3,1.17454
3abi__1__1.B__1.F,4,0.983488
3arn__1__1.A_1.C__1.D,0,1.299
3arn__1__1.A_1.C__1.D,1,0.994544
3arn__1__1.A_1.C__1.D,2,0.897259
3arn__1__1.A_1.C__1.D,3,1.23502
3arn__1__1.A_1.C__1.D,4,1.31058
3ayj__1__1.B__1.H_1.I_1.J,0,0.231194
3ayj__1__1.B__1.H_1.I_1.J,1,0.288964
3ayj__1__1.B__1.H_1.I_1.J,2,0.215292
3ayj__1__1.B__1.H_1.I_1.J,3,0.219121
3ayj__1__1.B__1.H_1.I_1.J,4,0.280812
3b5i__1__1.B__1.E,0,0.366375
3b5i__1__1.B__1.E,1,0.257971
3b5i__1__1.B__1.E,2,0.392126
3b5i__1__1.B__1.E,3,0.233586
3b5i__1__1.B__1.E,4,0.318927
3bex__2__1.C_1.D__1.L,0,0.263284
3bex__2__1.C_1.D__1.L,1,0.30659
3bex__2__1.C_1.D__1.L,2,0.32443
3bex__2__1.C_1.D__1.L,3,0.336995
3bex__2__1.C_1.D__1.L,4,0.350129
3bf3__1__1.A_1.B__1.H,0,0.349461
3bf3__1__1.A_1.B__1.H,1,0.457213
3bf3__1__1.A_1.B__1.H,2,0.353331
3bf3__1__1.A_1.B__1.H,3,0.282981
3bf3__1__1.A_1.B__1.H,4,0.368119
3bk2__1__2.A__2.E,0,0.84039
3bk2__1__2.A__2.E,1,1.19672
3bk2__1__2.A__2.E,2,0.956302
3bk2__1__2.A__2.E,3,1.133
3bk2__1__2.A__2.E,4,1.24276
3bqn__3__1.A_1.B__1.D,0,22.9863
3bqn__3__1.A_1.B__1.D,1,23.0725
3bqn__3__1.A_1.B__1.D,2,22.9437
3bqn__3__1.A_1.B__1.D,3,22.9948
3bqn__3__1.A_1.B__1.D,4,22.9376
3bwk__1__1.B_1.D__1.G,0,0.669004
3bwk__1__1.B_1.D__1.G,1,0.683412
3bwk__1__1.B_1.D__1.G,2,0.677783
3bwk__1__1.B_1.D__1.G,3,0.505593
3bwk__1__1.B_1.D__1.G,4,0.556721
3c9z__1__1.A__1.D,0,27.7046
3c9z__1__1.A__1.D,1,27.7663
3c9z__1__1.A__1.D,2,27.5362
3c9z__1__1.A__1.D,3,27.4678
3c9z__1__1.A__1.D,4,27.8083
3ca5__2__2.A__2.D,0,27.5892
3ca5__2__2.A__2.D,1,27.562
3ca5__2__2.A__2.D,2,27.4019
3ca5__2__2.A__2.D,3,27.3215
3ca5__2__2.A__2.D,4,27.6311
3cde__1__1.A__1.C,0,1.43329
3cde__1__1.A__1.C,1,1.41973
3cde__1__1.A__1.C,2,1.21438
3cde__1__1.A__1.C,3,1.36375
3cde__1__1.A__1.C,4,1.39878
3cxq__1__1.A_2.A__2.B,0,1.00168
3cxq__1__1.A_2.A__2.B,1,0.966114
3cxq__1__1.A_2.A__2.B,2,1.08266
3cxq__1__1.A_2.A__2.B,3,1.0174
3cxq__1__1.A_2.A__2.B,4,0.988006
3ddb__1__1.A_1.B__1.B_1.C,0,31.0418
3ddb__1__1.A_1.B__1.B_1.C,1,34.0289
3ddb__1__1.A_1.B__1.B_1.C,2,20.5743
3ddb__1__1.A_1.B__1.B_1.C,3,31.5193
3ddb__1__1.A_1.B__1.B_1.C,4,36.9955
3ddu__1__1.A__1.B_1.G,0,0.466343
3ddu__1__1.A__1.B_1.G,1,0.492999
3ddu__1__1.A__1.B_1.G,2,0.490544
3ddu__1__1.A__1.B_1.G,3,0.495935
3ddu__1__1.A__1.B_1.G,4,0.447979
3e08__1__1.A_1.B_1.D__1.R,0,19.4482
3e08__1__1.A_1.B_1.D__1.R,1,19.3375
3e08__1__1.A_1.B_1.D__1.R,2,19.4195
3e08__1__1.A_1.B_1.D__1.R,3,19.354
3e08__1__1.A_1.B_1.D__1.R,4,19.4379
3ej2__1__3.A_4.A__3.B_4.B,0,6.26706
3ej2__1__3.A_4.A__3.B_4.B,1,6.36708
3ej2__1__3.A_4.A__3.B_4.B,2,6.16122
3ej2__1__3.A_4.A__3.B_4.B,3,6.27625
3ej2__1__3.A_4.A__3.B_4.B,4,6.41354
3elm__1__2.A__2.C_2.I,0,0.929205
3elm__1__2.A__2.C_2.I,1,0.602339
3elm__1__2.A__2.C_2.I,2,0.481426
3elm__1__2.A__2.C_2.I,3,0.420212
3elm__1__2.A__2.C_2.I,4,0.594365
3f6k__1__1.A__1.C,0,21.5949
3f6k__1__1.A__1.C,1,20.5952
3f6k__1__1.A__1.C,2,20.93
3f6k__1__1.A__1.C,3,21.2877
3f6k__1__1.A__1.C,4,21.4027
3g1b__1__1.B__1.D,0,3.70849
3g1b__1__1.B__1.D,1,3.71484
3g1b__1__1.B__1.D,2,3.70617
3g1b__1__1.B__1.D,3,3.76544
3g1b__1__1.B__1.D,4,3.6843
3g1h__1__1.A_1.B__1.O,0,27.3605
3g1h__1__1.A_1.B__1.O,1,27.3378
3g1h__1__1.A_1.B__1.O,2,27.3499
3g1h__1__1.A_1.B__1.O,3,27.3818
3g1h__1__1.A_1.B__1.O,4,27.3057
3g1v__1__1.A_1.B__1.C,0,0.31346
3g1v__1__1.A_1.B__1.C,1,0.278053
3g1v__1__1.A_1.B__1.C,2,0.326456
3g1v__1__1.A_1.B__1.C,3,0.292549
3g1v__1__1.A_1.B__1.C,4,0.29681
3gnc__1__1.A__1.F,0,0.48998
3gnc__1__1.A__1.F,1,0.559265
3gnc__1__1.A__1.F,2,0.530407
3gnc__1__1.A__1.F,3,0.502308
3gnc__1__1.A__1.F,4,0.531624
3h65__1__2.A__2.B_2.C_2.D_2.E_2.F,0,0.751907
3h65__1__2.A__2.B_2.C_2.D_2.E_2.F,1,0.559024
3h65__1__2.A__2.B_2.C_2.D_2.E_2.F,2,0.260012
3h65__1__2.A__2.B_2.C_2.D_2.E_2.F,3,0.363183
3h65__1__2.A__2.B_2.C_2.D_2.E_2.F,4,0.571269
3hf6__1__1.A__1.C,0,0.374281
3hf6__1__1.A__1.C,1,0.615537
3hf6__1__1.A__1.C,2,1.30993
3hf6__1__1.A__1.C,3,1.32904
3hf6__1__1.A__1.C,4,1.31308
3hf8__1__1.A__1.C,0,0.969147
3hf8__1__1.A__1.C,1,1.01516
3hf8__1__1.A__1.C,2,0.379466
3hf8__1__1.A__1.C,3,1.22686
3hf8__1__1.A__1.C,4,0.932552
3hhe__1__1.A__1.C,0,0.737594
3hhe__1__1.A__1.C,1,0.710975
3hhe__1__1.A__1.C,2,0.733572
3hhe__1__1.A__1.C,3,0.710476
3hhe__1__1.A__1.C,4,0.711579
3hxu__1__1.A__1.B,0,0.219152
3hxu__1__1.A__1.B,1,0.224052
3hxu__1__1.A__1.B,2,0.230279
3hxu__1__1.A__1.B,3,0.191449
3hxu__1__1.A__1.B,4,0.263537
3i26__2__1.C_1.D__1.N,0,57.6145
3i26__2__1.C_1.D__1.N,1,57.4709
3i26__2__1.C_1.D__1.N,2,57.733
3i26__2__1.C_1.D__1.N,3,58.7587
3i26__2__1.C_1.D__1.N,4,57.8219
3i27__2__1.C_1.D__1.L,0,57.8972
3i27__2__1.C_1.D__1.L,1,58.0277
3i27__2__1.C_1.D__1.L,2,58.1262
3i27__2__1.C_1.D__1.L,3,57.9783
3i27__2__1.C_1.D__1.L,4,58.3142
3ikg__1__1.A__1.C,0,0.294751
3ikg__1__1.A__1.C,1,0.326168
3ikg__1__1.A__1.C,2,0.303331
3ikg__1__1.A__1.C,3,0.353638
3ikg__1__1.A__1.C,4,0.274818
3inb__1__1.A__1.F,0,6.0603
3inb__1__1.A__1.F,1,28.5749
3inb__1__1.A__1.F,2,42.494
3inb__1__1.A__1.F,3,42.5196
3inb__1__1.A__1.F,4,6.21522
3it3__1__1.B__1.D,0,0.615152
3it3__1__1.B__1.D,1,1.95069
3it3__1__1.B__1.D,2,0.804685
3it3__1__1.B__1.D,3,0.626512
3it3__1__1.B__1.D,4,0.714416
3jsa__1__2.A__2.B,0,0.316481
3jsa__1__2.A__2.B,1,0.313141
3jsa__1__2.A__2.B,2,0.244747
3jsa__1__2.A__2.B,3,0.358117
3jsa__1__2.A__2.B,4,0.411099
3ju4__1__1.A_2.A_3.A__1.B,0,63.7227
3ju4__1__1.A_2.A_3.A__1.B,1,56.9087
3ju4__1__1.A_2.A_3.A__1.B,2,57.6364
3ju4__1__1.A_2.A_3.A__1.B,3,60.6811
3ju4__1__1.A_2.A_3.A__1.B,4,57.4549
3k42__1__1.B__1.I,0,22.1127
3k42__1__1.B__1.I,1,22.5415
3k42__1__1.B__1.I,2,22.3986
3k42__1__1.B__1.I,3,22.14
3k42__1__1.B__1.I,4,22.2846
3k43__1__1.B__1.G,0,22.3615
3k43__1__1.B__1.G,1,22.319
3k43__1__1.B__1.G,2,22.5305
3k43__1__1.B__1.G,3,22.3139
3k43__1__1.B__1.G,4,22.0163
3l4t__1__1.A__1.B,0,1.08415
3l4t__1__1.A__1.B,1,1.0844
3l4t__1__1.A__1.B,2,0.934359
3l4t__1__1.A__1.B,3,1.06156
3l4t__1__1.A__1.B,4,0.967977
3l4x__1__1.A__1.C,0,1.57717
3l4x__1__1.A__1.C,1,1.13451
3l4x__1__1.A__1.C,2,1.10744
3l4x__1__1.A__1.C,3,1.0447
3l4x__1__1.A__1.C,4,1.17696
3l9h__1__1.A__1.D,0,3.72072
3l9h__1__1.A__1.D,1,1.97547
3l9h__1__1.A__1.D,2,1.80677
3l9h__1__1.A__1.D,3,1.84799
3l9h__1__1.A__1.D,4,1.82542
3le7__1__1.A__1.C,0,31.4166
3le7__1__1.A__1.C,1,31.9354
3le7__1__1.A__1.C,2,31.4164
3le7__1__1.A__1.C,3,31.5483
3le7__1__1.A__1.C,4,31.3323
3lhu__1__1.A_1.B__1.C,0,0.199213
3lhu__1__1.A_1.B__1.C,1,0.230734
3lhu__1__1.A_1.B__1.C,2,0.209894
3lhu__1__1.A_1.B__1.C,3,0.225405
3lhu__1__1.A_1.B__1.C,4,0.220713
3lhw__1__1.A_1.B__1.C,0,0.201465
3lhw__1__1.A_1.B__1.C,1,0.231535
3lhw__1__1.A_1.B__1.C,2,0.176191
3lhw__1__1.A_1.B__1.C,3,0.204164
3lhw__1__1.A_1.B__1.C,4,0.236158
3lhy__1__1.A_1.B__1.C,0,0.192437
3lhy__1__1.A_1.B__1.C,1,0.197433
3lhy__1__1.A_1.B__1.C,2,0.219546
3lhy__1__1.A_1.B__1.C,3,0.22572
3lhy__1__1.A_1.B__1.C,4,0.194305
3li1__1__1.A_1.B__1.C,0,0.232712
3li1__1__1.A_1.B__1.C,1,0.235437
3li1__1__1.A_1.B__1.C,2,0.240723
3li1__1__1.A_1.B__1.C,3,0.272957
3li1__1__1.A_1.B__1.C,4,0.207137
3ltp__1__1.A_1.B__1.D,0,27.5459
3ltp__1__1.A_1.B__1.D,1,27.5612
3ltp__1__1.A_1.B__1.D,2,27.5613
3ltp__1__1.A_1.B__1.D,3,27.5453
3ltp__1__1.A_1.B__1.D,4,27.5686
3lts__1__1.A_1.B__1.C,0,0.295652
3lts__1__1.A_1.B__1.C,1,0.255046
3lts__1__1.A_1.B__1.C,2,0.282448
3lts__1__1.A_1.B__1.C,3,0.256286
3lts__1__1.A_1.B__1.C,4,0.316749
3lty__1__1.A_1.B__1.C,0,0.221562
3lty__1__1.A_1.B__1.C,1,0.241349
3lty__1__1.A_1.B__1.C,2,0.262552
3lty__1__1.A_1.B__1.C,3,0.220128
3lty__1__1.A_1.B__1.C,4,0.213693
3lu6__1__1.A__1.D,0,37.5138
3lu6__1__1.A__1.D,1,37.064
3lu6__1__1.A__1.D,2,36.9836
3lu6__1__1.A__1.D,3,37.0417
3lu6__1__1.A__1.D,4,37.1405
3lu8__1__1.A__1.C,0,4.03632
3lu8__1__1.A__1.C,1,3.93655
3lu8__1__1.A__1.C,2,4.52926
3lu8__1__1.A__1.C,3,4.20056
3lu8__1__1.A__1.C,4,3.91995
3lv5__1__1.A_1.B__1.C,0,0.216166
3lv5__1__1.A_1.B__1.C,1,0.231357
3lv5__1__1.A_1.B__1.C,2,0.242346
3lv5__1__1.A_1.B__1.C,3,0.208991
3lv5__1__1.A_1.B__1.C,4,0.206043
3lv6__1__1.A_1.B__1.D,0,27.5334
3lv6__1__1.A_1.B__1.D,1,27.5112
3lv6__1__1.A_1.B__1.D,2,27.4978
3lv6__1__1.A_1.B__1.D,3,27.523
3lv6__1__1.A_1.B__1.D,4,27.4992
3maw__1__1.A__1.C,0,39.883
3maw__1__1.A__1.C,1,30.873
3maw__1__1.A__1.C,2,42.9181
3maw__1__1.A__1.C,3,41.1728
3maw__1__1.A__1.C,4,47.0399
3n13__1__1.A__1.B,0,7.52101
3n13__1__1.A__1.B,1,7.71588
3n13__1__1.A__1.B,2,7.54634
3n13__1__1.A__1.B,3,7.49283
3n13__1__1.A__1.B,4,7.65413
3n15__1__1.A__1.B,0,7.51483
3n15__1__1.A__1.B,1,7.42685
3n15__1__1.A__1.B,2,7.42786
3n15__1__1.A__1.B,3,7.43037
3n15__1__1.A__1.B,4,7.48453
3n2v__1__1.A__1.B_1.G,0,0.504166
3n2v__1__1.A__1.B_1.G,1,0.442678
3n2v__1__1.A__1.B_1.G,2,0.492099
3n2v__1__1.A__1.B_1.G,3,0.669818
3n2v__1__1.A__1.B_1.G,4,0.699998
3n76__1__12.A_7.A__12.B,0,27.8536
3n76__1__12.A_7.A__12.B,1,27.92
3n76__1__12.A_7.A__12.B,2,27.9474
3n76__1__12.A_7.A__12.B,3,27.9755
3n76__1__12.A_7.A__12.B,4,27.9241
3nkn__1__1.A__1.D,0,44.7511
3nkn__1__1.A__1.D,1,45.1989
3nkn__1__1.A__1.D,2,46.1688
3nkn__1__1.A__1.D,3,46.8461
3nkn__1__1.A__1.D,4,37.0221
3nkp__1__1.A__1.D,0,47.7892
3nkp__1__1.A__1.D,1,46.1575
3nkp__1__1.A__1.D,2,48.3752
3nkp__1__1.A__1.D,3,44.4576
3nkp__1__1.A__1.D,4,44.2996
3nq7__1__1.A_1.B__1.D,0,27.3985
3nq7__1__1.A_1.B__1.D,1,27.4066
3nq7__1__1.A_1.B__1.D,2,27.415
3nq7__1__1.A_1.B__1.D,3,27.4223
3nq7__1__1.A_1.B__1.D,4,27.4274
3nqa__1__1.A_1.B__1.C,0,0.198597
3nqa__1__1.A_1.B__1.C,1,0.217087
3nqa__1__1.A_1.B__1.C,2,0.212355
3nqa__1__1.A_1.B__1.C,3,0.176163
3nqa__1__1.A_1.B__1.C,4,0.213453
3nqc__1__1.A_1.B__1.C,0,0.16844
3nqc__1__1.A_1.B__1.C,1,0.171455
3nqc__1__1.A_1.B__1.C,2,0.180068
3nqc__1__1.A_1.B__1.C,3,0.177187
3nqc__1__1.A_1.B__1.C,4,0.190541
3nqd__1__1.A_1.B__1.C,0,0.163402
3nqd__1__1.A_1.B__1.C,1,0.211114
3nqd__1__1.A_1.B__1.C,2,0.19125
3nqd__1__1.A_1.B__1.C,3,0.217214
3nqd__1__1.A_1.B__1.C,4,0.174058
3nqe__1__1.A_1.B__1.C,0,0.209355
3nqe__1__1.A_1.B__1.C,1,0.219189
3nqe__1__1.A_1.B__1.C,2,0.275435
3nqe__1__1.A_1.B__1.C,3,0.226548
3nqe__1__1.A_1.B__1.C,4,0.233201
3nqf__1__1.A_1.B__1.C,0,0.240799
3nqf__1__1.A_1.B__1.C,1,0.221329
3nqf__1__1.A_1.B__1.C,2,0.248149
3nqf__1__1.A_1.B__1.C,3,0.24701
3nqf__1__1.A_1.B__1.C,4,0.251793
3nqg__1__1.A_1.B__1.E,0,27.5524
3nqg__1__1.A_1.B__1.E,1,27.5973
3nqg__1__1.A_1.B__1.E,2,27.5875
3nqg__1__1.A_1.B__1.E,3,27.5431
3nqg__1__1.A_1.B__1.E,4,27.5828
3nqm__1__1.A_1.B__1.C,0,0.224729
3nqm__1__1.A_1.B__1.C,1,0.209205
3nqm__1__1.A_1.B__1.C,2,0.231152
3nqm__1__1.A_1.B__1.C,3,0.22729
3nqm__1__1.A_1.B__1.C,4,0.193871
3ntp__1__1.A__1.B,0,3.86541
3ntp__1__1.A__1.B,1,3.78777
3ntp__1__1.A__1.B,2,3.91334
3ntp__1__1.A__1.B,3,3.62822
3ntp__1__1.A__1.B,4,4.08025
3nwd__3__1.C_3.C__3.O,0,32.7447
3nwd__3__1.C_3.C__3.O,1,32.7212
3nwd__3__1.C_3.C__3.O,2,31.5915
3nwd__3__1.C_3.C__3.O,3,33.8378
3nwd__3__1.C_3.C__3.O,4,45.5842
3nwd__4__3.D__3.F,0,24.2527
3nwd__4__3.D__3.F,1,25.1145
3nwd__4__3.D__3.F,2,75.4217
3nwd__4__3.D__3.F,3,94.1476
3nwd__4__3.D__3.F,4,56.9109
3ogm__2__1.E_1.F__1.CA_1.DA_1.EA_1.FA,0,32.8289
3ogm__2__1.E_1.F__1.CA_1.DA_1.EA_1.FA,1,33.5077
3ogm__2__1.E_1.F__1.CA_1.DA_1.EA_1.FA,2,34.7809
3ogm__2__1.E_1.F__1.CA_1.DA_1.EA_1.FA,3,33.5001
3ogm__2__1.E_1.F__1.CA_1.DA_1.EA_1.FA,4,33.4186
3oha__1__1.A__1.D_1.H_1.I,0,1.02932
3oha__1__1.A__1.D_1.H_1.I,1,0.941547
3oha__1__1.A__1.D_1.H_1.I,2,0.893953
3oha__1__1.A__1.D_1.H_1.I,3,1.13193
3oha__1__1.A__1.D_1.H_1.I,4,0.921681
3ohb__1__1.A__1.D_1.E_1.F,0,1.0642
3ohb__1__1.A__1.D_1.E_1.F,1,0.842265
3ohb__1__1.A__1.D_1.E_1.F,2,0.875048
3ohb__1__1.A__1.D_1.E_1.F,3,0.818443
3ohb__1__1.A__1.D_1.E_1.F,4,0.797637
3oky__1__2.B__2.C,0,11.3993
3oky__1__2.B__2.C,1,10.8697
3oky__1__2.B__2.C,2,10.9231
3oky__1__2.B__2.C,3,10.6313
3oky__1__2.B__2.C,4,10.8577
3p5y__1__1.A_1.B__1.E,0,27.7921
3p5y__1__1.A_1.B__1.E,1,27.7968
3p5y__1__1.A_1.B__1.E,2,27.8602
3p5y__1__1.A_1.B__1.E,3,27.8127
3p5y__1__1.A_1.B__1.E,4,27.7692
3p5z__1__1.A_1.B__1.C,0,0.197767
3p5z__1__1.A_1.B__1.C,1,0.197703
3p5z__1__1.A_1.B__1.C,2,0.184491
3p5z__1__1.A_1.B__1.C,3,0.196574
3p5z__1__1.A_1.B__1.C,4,0.196
3p60__1__1.A_1.B__1.D,0,27.6975
3p60__1__1.A_1.B__1.D,1,27.6599
3p60__1__1.A_1.B__1.D,2,27.6936
3p60__1__1.A_1.B__1.D,3,27.6498
3p60__1__1.A_1.B__1.D,4,27.6627
3p61__1__1.A_1.B__1.D,0,27.6889
3p61__1__1.A_1.B__1.D,1,27.6859
3p61__1__1.A_1.B__1.D,2,27.6629
3p61__1__1.A_1.B__1.D,3,27.6583
3p61__1__1.A_1.B__1.D,4,27.6531
3phe__1__1.A__1.E,0,0.546418
3phe__1__1.A__1.E,1,0.784423
3phe__1__1.A__1.E,2,0.56907
3phe__1__1.A__1.E,3,0.702545
3phe__1__1.A__1.E,4,0.600923
3plf__2__1.D__1.C,0,1.93424
3plf__2__1.D__1.C,1,1.68701
3plf__2__1.D__1.C,2,1.67767
3plf__2__1.D__1.C,3,2.27492
3plf__2__1.D__1.C,4,2.68327
3q9b__1__1.A_1.I__1.FE_1.IE_1.T,0,29.3621
3q9b__1__1.A_1.I__1.FE_1.IE_1.T,1,29.2971
3q9b__1__1.A_1.I__1.FE_1.IE_1.T,2,29.253
